样本编号	批次号	项目代码	捕获芯片	分析范围	捕获率	目标区域平均深度	目标区域覆盖度(%)	测序数据量(M)	重复率	去重复深度	比对(PE)	比对(SE)	插入片段均值	>=2x目标区域覆盖度(%)	>=5x目标区域覆盖度(%)	>=10x目标区域覆盖度(%)	>=20x目标区域覆盖度(%)	>=30x目标区域覆盖度(%)	>=40x目标区域覆盖度(%)	>=50x目标区域覆盖度(%)	>=100x目标区域覆盖度(%)	GC含量	Q20	Q30	"波动值
"
AFB478DZ	b6685auto	NCP980c	NPC980	NPC980	80.01	217.36	99.72	14450	0.043100315810178	208.05	99.55	0.12	194.87	99.64		99.47	99.38	99.29	99.19	99.04	95.72	50.06	98.85	95.69	0.181011323238
AFB482	b6685auto	Ncec	NT01T	NT01T	84.05	1355.14	99.84	85182	0.20007280394223	1068.94	99.64	0.09	195.18	99.76		99.57	99.52	99.49	99.47	99.46	99.41	50.49	98.88	95.84	0.160831803148
AFB479	b6685auto	Ncet	NT01T	NT01T	81.82	1368.56	99.87	87723	0.169738559064225	1123.5	99.6	0.1	198.3	99.8		99.58	99.52	99.49	99.47	99.45	99.35	47.62	98.72	95.15	0.339607278602
AEV195	b6625auto	NCp2	NPC69	NPC69	30.66	27150.09	100.0	32924	0.507999495729315	1942.37	99.09	0.14	158.1	100.0		99.95	99.82	99.72	99.61	99.53	99.3	43.47	99.04	96.27	0.078506749327
AEV194DZ	b6625auto	NCp2	NPC69	NPC69	51.93	137.81	99.89	13822	0.0380921150851786	133.05	99.11	0.25	161.47	99.82		99.54	99.36	99.1	98.48	97.1	69.58	46.3	98.55	94.47	0.228890196283
AEV194	b6625auto	Ncec	NT01T	NT01T	61.89	1021.91	99.98	85229	0.2967373575376	651.29	99.39	0.12	156.92	99.97		99.8	99.68	99.64	99.62	99.59	99.45	46.53	98.9	95.72	0.18950692927
AEV692	b6629auto	NCp2	NPC69	NPC69	30.72	25205.66	100.0	30535	0.477394134844134	2299.57	98.95	0.16	177.93	100.0		100.0	100.0	99.99	99.94	99.87	99.68	43.88	98.93	95.83	0.0690213883733
AEV692DZ	b6629auto	NCp2	NPC69	NPC69	51.41	104.72	99.88	10942	0.0224313563685191	102.7	99.13	0.24	192.2	99.82		99.51	99.22	98.59	96.9	93.25	44.16	46.66	98.82	95.19	0.226339372201
AEV691	b6629auto	Ncec	NT01T	NT01T	67.84	1145.13	99.97	89997	0.358468104668057	658.7	99.43	0.11	183.55	99.95		99.78	99.72	99.7	99.67	99.65	99.55	47.58	98.87	95.41	0.172243261719
AEX177	b6635auto	NCp2	NPC69	NPC69	27.79	20700.72	100.0	27646	0.390547943424712	5481.18	98.94	0.27	145.24	100.0		99.93	99.87	99.84	99.79	99.76	99.54	44.07	98.81	95.55	0.179305743485
AEX176DZ	b6635auto	NCp2	NPC69	NPC69	59.38	132.67	99.85	12250	0.0162504759796877	130.77	99.22	0.21	208.2	99.78		99.48	99.3	99.01	98.38	97.12	71.5	46.5	98.44	94.24	0.203146804583
AEX176	b6635auto	Ncec	NT01T	NT01T	74.78	1156.08	99.94	79598	0.278488706597911	800.33	99.42	0.2	161.0	99.91		99.7	99.63	99.58	99.54	99.5	99.38	48.11	98.82	95.64	0.254548366503
AEX917	b6641auto	NPCW	NT01T	NT01T	52.81	866.03	99.42	86076	0.132087007933715	723.35	99.36	0.14	267.421	99.97		99.8	99.71	99.68	99.65	99.62	99.39	46.69	96.94	90.63	
AEX917DZ	b6641auto	NPCW	NT01T	NT01T	49.5	135.65	99.42	14233	0.0299094515977728	131.99	97.62	0.49	201.538	99.78		99.58	99.44	99.23	98.74	97.61	70.39	47.31	97.66	92.82	
AEX693	b6641auto	NCPLt	NPC69	NPC69	21.03	2974.11	100.0	5247	0.0968797483531795	2251.65	99.09	0.16	245.85	100.0		99.97	99.81	99.6	99.41	99.37	99.12	43.16	98.48	93.98	0.193466881387
AEX693DZ	b6641auto	NCPLt	NPC69	NPC69	33.32	60.42	99.88	9490	0.0257597596461068	59.29	98.56	0.52	155.27	99.79		99.24	97.38	90.63	77.23	59.46	6.19	45.2	98.57	94.42	0.212170975555
AEY053	b6644auto	NCP980	NPC980	NPC980	12.23	739.35	99.96	15048	0.052672252829814	592.76	99.19	0.19	209.38	99.94		99.86	99.77	99.67	99.54	99.36	97.57	48.66	98.32	93.65	0.502801417505
AEY057DZ	b6644auto	NCP980	NPC980	NPC980	52.83	134.52	99.88	13378	0.0308701077527524	130.82	99.15	0.25	176.63	99.81		99.5	99.32	99.09	98.57	97.38	70.73	46.64	98.86	95.59	0.207593355668
AEY044	b6644auto	NCP980	NPC980	NPC980	13.6	1123.94	100.0	22128	0.043237329340529	999.45	99.32	0.14	205.05	99.94		99.9	99.84	99.79	99.72	99.66	99.27	47.61	98.61	94.72	0.337619292972
AEY045DZ	b6644auto	NCP980	NPC980	NPC980	51.09	124.37	99.89	12808	0.0307903674428702	120.91	99.08	0.29	177.12	99.82		99.5	99.29	98.95	98.1	96.27	63.14	46.23	98.61	94.63	0.211338348238
AEY047	b6644auto	NCP980	NPC980	NPC980	13.0	1108.44	99.97	21702	0.037930500454911	1015.56	99.25	0.18	192.8	99.94		99.9	99.83	99.75	99.68	99.61	98.96	47.71	98.62	94.73	0.46404827623
AEY047DZ	b6644auto	NCP980	NPC980	NPC980	52.33	111.34	99.89	11493	0.0222736432213367	109.08	99.24	0.16	202.39	99.82		99.53	99.32	98.86	97.66	95.02	50.75	47.27	98.64	94.78	0.232790626893
AEY057	b6644auto	NCP980c	NPC980	NPC980	13.4	2232.72	99.97	42501	0.0964334708287527	1636.78	99.48	0.14	152.53	99.95		99.92	99.89	99.86	99.83	99.8	99.66	49.11	98.83	95.65	0.328993330036
AEY045	b6644auto	NCP980c	NPC980	NPC980	15.57	3003.24	100.0	49695	0.126361054962587	1963.58	99.57	0.13	162.25	99.97		99.93	99.89	99.86	99.84	99.82	99.72	49.6	98.89	95.86	0.312476189612
AEY060	b6644auto	Ncet	NT01T	NT01T	60.38	1020.03	99.99	90391	0.0954207719395451	913.71	99.34	0.17	207.53	99.98		99.84	99.72	99.68	99.64	99.6	99.46	47.58	98.64	94.8	0.205389802137
AEY060DZ	b6644auto	Ncet	NT01T	NT01T	40.01	95.41	99.92	12981	0.0279571139209894	93.58	98.85	0.27	198.46	99.86		99.52	99.23	98.41	96.0	90.94	33.42	45.82	98.71	94.98	0.233116529697
AEY337	b6647auto	NCp1	NPC69	NPC69	26.94	2430.73	100.0	3327	0.0538467334211146	2168.99	98.4	0.34	201.2	100.0		99.8	99.54	99.29	99.16	99.03	98.85	42.26	98.74	94.94	0.210053730574
AEY338DZ	b6647auto	NCp1	NPC69	NPC69	49.67	100.47	99.71	11045	0.0228534450383019	98.71	98.98	0.29	204.76	99.63		99.33	99.07	98.42	96.47	92.03	38.55	46.13	98.48	93.9	0.252233156654
AEY347	b6647auto	NBAP	NLP	NLP	45.4	9873.41	100.0	19350	0.205262173057642	6513.03	99.25	0.2	201.14	100.0		100.0	100.0	100.0	100.0	100.0	100.0	48.39	98.33	93.29	0.181384845537
AEY347DZ	b6647auto	NBAP	NLP	NLP	45.6	1666.98	100.0	3474	0.0646604217948503	1483.49	91.25	0.75	191.06	100.0		100.0	100.0	100.0	100.0	100.0	99.96	48.25	98.69	94.88	0.245660631369
AEY346	b6647auto	NBAP	NLP	NLP	32.21	8947.72	100.0	24521	0.140585853722358	6530.7	98.96	0.31	182.42	100.0		100.0	100.0	100.0	100.0	100.0	100.0	46.58	98.74	94.97	0.231065261282
AEY346DZ	b6647auto	NBAP	NLP	NLP	44.29	1712.92	100.0	4072	0.0973565370915418	1416.22	84.69	0.84	217.11	100.0		100.0	100.0	100.0	99.99	99.98	99.92	48.43	98.44	93.86	0.254092071174
AEY339	b6647auto	NCp2	NPC69	NPC69	32.79	35302.68	100.0	40718	0.539953159798843	1434.99	98.28	0.14	184.39	100.0		99.96	99.78	99.66	99.55	99.47	99.22	44.48	98.83	95.44	0.074316777278
AEU696	b6619auto	NCP980	NPC980	NPC980	17.15	1460.24	100.0	22253	0.210193968449185	473.78	98.96	0.12	221.89	99.99		99.94	99.9	99.85	99.82	99.78	99.43	49.6	98.24	93.67	0.344527850531
MHMDZ	b6647auto	NCP980	NPC980	NPC980	53.95	99.02	99.87	10226	0.0194153674575659	97.2	96.8	0.53	206.45	99.8		99.52	99.28	98.63	96.67	92.37	36.65	47.2	98.61	94.48	0.231204578709
AEY343	b6647auto	NBCW	NT01T	NT01T	67.77	1110.77	99.93	89138	0.204766004757236	848.92	99.47	0.12	214.37	99.88		99.6	99.53	99.5	99.47	99.45	99.34	47.94	98.65	94.71	0.197204201972
AEY343DZ	b6647auto	NBCW	NT01T	NT01T	49.03	94.27	99.71	10555	0.0202538474868085	92.57	98.93	0.22	218.49	99.62		99.25	98.96	98.23	96.07	91.15	32.37	46.13	98.53	94.11	0.23172379031
AEY335	b6647auto	Ncet	NT01T	NT01T	52.77	732.49	99.99	76524	0.0882562353876716	663.37	98.65	0.31	214.61	99.98		99.8	99.72	99.69	99.65	99.61	99.41	44.77	98.64	94.52	0.329879154581
AEY338	b6647auto	Ncec	NT01T	NT01T	64.76	1086.31	99.97	89421	0.326621353006747	652.98	98.76	0.16	179.79	99.96		99.72	99.58	99.52	99.48	99.45	99.34	47.95	98.87	95.59	0.162563015175
AEU697	b6619auto	NCP980c	NPC980	NPC980	14.67	2267.39	99.99	40192	0.136440890862773	1493.86	99.31	0.22	163.3	99.96		99.93	99.9	99.88	99.85	99.83	99.7	48.9	98.62	95.07	0.342018095984
AEY345	b6647auto	NBCW	NT01T	NT01T	49.31	684.93	99.81	74775	0.0679218449424241	635.7	98.96	0.35	184.88	99.79		99.65	99.53	99.48	99.44	99.39	99.24	45.6	98.67	94.63	0.243980920385
AEY345DZ	b6647auto	NBCW	NT01T	NT01T	63.63	96.89	99.63	8626	0.0247167527383179	94.48	95.32	0.54	212.64	99.55		99.23	98.99	98.36	96.44	92.0	34.82	48.42	98.49	94.02	0.232222393364
AFB940	b6693auto	NCAPX	NVT	NVT	76.41	38348.88	100.0	11237	0.744922315489121	6911.4	99.33	0.15	187.59	100.0		100.0	100.0	100.0	100.0	100.0	100.0	50.34	98.74	95.4	0.120551559139
AFB940DZ	b6693auto	NCAPX	NVT	NVT	72.63	18089.27	100.0	5587	0.337026020451191	10705.33	99.49	0.13	192.98	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.71	98.73	95.42	0.185730226068
AFB484	b6688auto	NBAP	NLP	NLP	77.63	22810.54	100.0	25970	0.450327119327709	11212.3	99.72	0.1	204.07	100.0		100.0	100.0	100.0	100.0	100.0	100.0	53.0	98.34	94.48	0.205239353463
AFB484DZ	b6693auto	NBAP	NLP	NLP	77.27	5627.87	100.0	6534	0.540883979831087	2153.55	99.45	0.11	234.37	100.0		100.0	100.0	99.99	99.99	99.99	99.99	53.67	98.39	94.28	0.205613859942
AFB485	b6693auto	NCP980	NPC980	NPC980	37.67	3654.19	99.97	24840	0.190715510334285	2591.27	99.71	0.08	186.22	99.9		99.84	99.78	99.73	99.69	99.65	99.43	52.24	98.73	95.4	0.409405399516
AFB486DZ	b6688auto	NCP980	NPC980	NPC980	81.0	199.95	99.52	13141	0.0601528780371655	187.9	99.63	0.1	201.82	99.45		99.28	99.2	99.11	98.98	98.77	93.47	50.02	98.6	95.19	0.226176608554
AFB477	b6693auto	NCP980	NPC980	NPC980	32.28	2887.36	99.96	22941	0.209054499570465	1965.34	99.67	0.08	172.02	99.94		99.88	99.82	99.75	99.68	99.63	99.33	51.48	98.78	95.56	0.379597739683
AFB938	b6693auto	NCP393	NPC980	NPC980	40.13	2777.14	99.98	17496	0.175326318673705	1977.6	99.66	0.09	199.03	99.95		99.84	99.76	99.68	99.61	99.54	99.16	52.75	98.62	95.03	0.543441859063
AFB938DZ	b6693auto	NCP393	NPC980	NPC980	73.13	255.99	99.78	18047	0.0790809678078423	235.44	99.41	0.19	170.75	99.68		99.48	99.4	99.32	99.22	99.06	96.24	50.34	98.91	96.02	0.221179464667
AFB487	b6688auto	NBAP	NLP	NLP	78.67	22836.6	100.0	26168	0.568157574617901	8497.2	99.79	0.07	229.33	100.0		100.0	100.0	100.0	100.0	100.0	100.0	53.29	98.35	94.46	0.150993235224
AFB500	b6693auto	NCP393	NPC980	NPC980	43.34	3948.53	99.99	23456	0.251547332083648	2411.46	99.68	0.09	218.46	99.96		99.88	99.79	99.71	99.64	99.57	99.19	52.65	98.57	94.84	0.544652291118
AFB500DZ	b6693auto	NCP393	NPC980	NPC980	77.85	321.28	99.77	21818	0.0888123237669235	292.7	99.59	0.08	200.41	99.71		99.52	99.45	99.39	99.31	99.22	98.05	50.65	98.71	95.35	0.225233920956
AFB495	b6685auto	NBAP	NLP	NLP	78.31	23577.26	100.0	26830	0.426515077588085	12120.73	99.68	0.1	209.27	100.0		100.0	100.0	100.0	100.0	100.0	100.0	52.25	98.74	95.28	0.199509654987
AFF188	b6726auto	NCP980	NPC980	NPC980	60.93	5901.8	99.67	24419	0.396318688716135	2656.04	99.68	0.13	183.657	99.93		99.9	99.88	99.86	99.84	99.81	99.67	53.75	97.6	93.17	
AFF188DZ	b6726auto	NCP980	NPC980	NPC980	75.03	224.7	99.42	15262	0.0476106065619693	213.9	99.45	0.17	207.53	99.6		99.49	99.43	99.36	99.29	99.17	95.99	50.32	97.63	93.17	
AFE781	b6726auto	NCP980c	NPC980	NPC980	37.16	9965.78	99.67	71706	0.548231543992197	876.69	99.66	0.11	185.426	99.96		99.94	99.92	99.89	99.87	99.85	99.8	51.86	97.63	93.17	
AFE255DZ	b6723auto	NCpc	NCP1	NCP1	83.11	10605.84	100.0	5548	0.303580088575047	6907.86	99.78	0.07	195.23	99.99		99.95	99.92	99.91	99.89	99.87	99.79	51.75	98.77	95.63	0.229336745485
AFF426	b6730auto	NCAPX	NVT	NVT	81.42	42177.13	99.39	11459	0.863070387429809	3851.92	98.17	0.26	157.328	100.0		100.0	100.0	100.0	100.0	100.0	100.0	52.32	98.52	95.34	
AFF426DZ	b6730auto	NCAPX	NVT	NVT	76.76	19079.88	99.39	5585	0.407025671904829	10283.81	99.74	0.07	198.69	100.0		100.0	100.0	100.0	100.0	100.0	100.0	52.52	98.36	94.76	
AFC670	b6730auto	NCAPX	NVT	NVT	79.19	38891.67	99.39	11385	0.88064009170216	3248.46	98.9	0.12	219.868	100.0		100.0	100.0	100.0	100.0	100.0	100.0	52.76	98.2	94.33	
AFC670DZ	b6730auto	NCAPX	NVT	NVT	76.19	23372.88	99.39	6947	0.44311691304481	11817.51	99.72	0.1	204.313	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.62	98.29	94.57	
AFF189	b6730auto	NCpc	NCP1	NCP1	83.77	79591.3	99.47	40023	0.916956997067561	2629.54	99.77	0.07	191.403	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.84	98.27	94.46	
AFF189DZ	b6730auto	NCpc	NCP1	NCP1	79.66	15700.61	99.47	8291	0.347023341203926	9512.28	99.76	0.09	203.617	100.0		99.99	99.98	99.97	99.96	99.94	99.92	51.56	98.35	94.69	
AFF432	b6730auto	NCp2	NPC69	NPC69	70.55	94876.76	99.66	48750	0.923492201964542	2842.07	99.84	0.04	189.287	100.0		99.98	99.94	99.92	99.92	99.91	99.81	46.04	98.49	95.24	
AFF431DZ	b6730auto	NCp2	NPC69	NPC69	76.37	207.11	99.42	13459	0.0633633573281942	193.89	99.61	0.11	184.516	99.44		99.26	99.18	99.1	98.97	98.79	94.31	50.51	98.47	95.13	
AFF600	b6730auto	NBAP	NLP	NLP	64.56	23278.16	99.42	31443	0.440242327250017	10860.63	99.55	0.13	192.267	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.27	98.38	94.88	
AFF598DZ	b6730auto	NBAP	NLP	NLP	80.01	226.97	99.42	15052	0.0962947740275492	204.49	94.07	1.07	203.763	99.56		99.46	99.39	99.33	99.24	99.11	95.77	51.01	98.27	94.55	
AFF094	b6726auto	NBAP	NLP	NLP	71.25	17627.47	99.42	21940	0.414063224305173	9073.38	99.52	0.15	201.144	100.0		100.0	100.0	100.0	100.0	100.0	100.0	52.41	97.6	93.14	
AFF092DZ	b6730auto	NBAP	NLP	NLP	80.02	243.81	99.42	14930	0.092933940723656	220.64	99.3	0.15	180.017	99.56		99.44	99.35	99.22	99.02	98.66	93.1	52.86	98.0	93.83	
AFF871	b6732auto	NCp1	NPC69	NPC69	70.19	2830.45	99.66	1453	0.149960927243809	2346.95	99.73	0.07	196.107	99.72		99.43	99.22	99.05	98.81	98.61	98.04	45.69	98.17	94.44	
AFF872DZ	b6732auto	NCp1	NPC69	NPC69	79.71	243.84	99.42	15528	0.0413366155958564	233.56	99.69	0.08	198.805	99.57		99.46	99.38	99.3	99.19	99.03	96.26	50.93	97.92	93.82	
AFF090	b6726auto	NBAP	NLP	NLP	71.42	31026.94	99.42	38600	0.529392047699417	12227.66	99.55	0.14	205.307	100.0		100.0	100.0	100.0	100.0	100.0	100.0	52.84	97.46	92.74	
AFF090DZ	b6730auto	NBAP	NLP	NLP	79.96	4104.39	99.42	4445	0.240141347870416	2974.1	99.7	0.11	191.132	100.0		100.0	100.0	99.99	99.99	99.99	99.99	54.54	98.28	94.57	
AFF873	b6732auto	NCp2	NPC69	NPC69	71.57	87563.76	99.66	44800	0.961841798847204	1252.63	99.82	0.06	195.262	100.0		100.0	99.96	99.9	99.81	99.7	99.5	44.73	98.19	94.43	
AFF874	b6732auto	NCP393	NPC980	NPC980	75.6	4763.16	99.67	17182	0.325986661241544	2941.86	99.81	0.07	207.018	99.98		99.96	99.94	99.91	99.88	99.84	99.74	51.17	97.29	92.12	
AFF874DZ	b6732auto	NCP393	NPC980	NPC980	77.61	185.73	99.42	12161	0.0435447852683345	177.61	99.67	0.09	199.032	99.45		99.25	99.12	98.96	98.74	98.38	90.9	50.64	97.93	93.84	
AFF596	b6732auto	NCp2	NPC69	NPC69	70.39	82485.67	99.66	43084	0.948464327985918	1736.43	99.8	0.07	186.716	100.0		99.99	99.98	99.98	99.98	99.97	99.78	44.92	98.25	94.61	
AFF595DZ	b6730auto	NCp2	NPC69	NPC69	75.75	257.27	99.42	17071	0.0659127956984643	240.18	99.63	0.09	198.083	99.6		99.48	99.41	99.33	99.24	99.12	96.9	50.53	98.37	94.8	
AFF424	b6732auto	NCAPX	NVT	NVT	76.93	41750.44	99.39	12547	0.62895568722556	12484.46	99.77	0.08	207.879	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.69	97.73	93.31	
AFF424DZ	b6730auto	NCAPX	NVT	NVT	74.85	26181.05	99.39	7883	0.468243308247725	12384.62	99.72	0.09	203.522	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.91	98.41	94.9	
AFF425	b6732auto	NCAPX	NVT	NVT	81.6	45944.36	99.39	12589	0.629922838458501	14351.21	99.83	0.05	193.785	100.0		100.0	100.0	100.0	100.0	100.0	100.0	52.51	97.98	94.04	
AFF425DZ	b6730auto	NCAPX	NVT	NVT	77.73	19042.21	99.39	5652	0.432355994457461	9935.52	99.78	0.07	222.611	100.0		100.0	100.0	100.0	100.0	100.0	100.0	52.29	98.24	94.39	
AFF431	b6730auto	Ncec	NT01T	NT01T	82.21	1680.54	99.42	102437	0.382797530663306	1001.6	99.77	0.03	207.585	99.5		99.4	99.36	99.33	99.31	99.29	99.23	52.2	98.29	94.54	
AFF588	b6730auto	NCP980	NPC980	NPC980	62.94	4549.82	99.67	18853	0.193772833052841	3405.53	99.8	0.07	238.205	99.99		99.98	99.94	99.89	99.86	99.83	99.75	52.72	97.8	93.02	
AFF589DZ	b6732auto	NCP980	NPC980	NPC980	80.83	200.67	99.42	12480	0.0507474399253987	190.32	99.71	0.08	192.339	99.53		99.42	99.32	99.17	98.94	98.59	92.13	51.35	98.02	94.1	
AFF866	b6732auto	NCP980	NPC980	NPC980	78.37	6148.62	99.67	19885	0.334344252790769	3656.9	99.77	0.08	205.633	99.93		99.89	99.85	99.8	99.76	99.71	99.48	56.45	97.5	92.82	
AFF867DZ	b6732auto	NCP980	NPC980	NPC980	79.95	235.57	99.42	14867	0.0439897267798135	225.01	99.68	0.08	194.919	99.57		99.46	99.37	99.27	99.12	98.91	95.2	51.58	97.97	93.93	
AFF601	b6732auto	NCP393	NPC980	NPC980	74.77	6750.61	99.67	24390	0.366033130297445	3839.95	99.8	0.08	200.68	99.98		99.92	99.9	99.89	99.88	99.86	99.77	51.92	97.74	93.35	
AFF601DZ	b6730auto	NCP393	NPC980	NPC980	73.77	190.67	99.42	12909	0.0622869938169527	179.53	99.63	0.09	191.2	99.45		99.25	99.16	99.04	98.85	98.55	91.4	50.43	98.33	94.7	
AFF867	b6732auto	NCP980c	NPC980	NPC980	74.9	16577.86	99.67	59847	0.716649586776402	2451.6	99.75	0.08	190.793	99.97		99.93	99.91	99.91	99.89	99.87	99.8	52.44	97.84	93.65	
AFF598	b6730auto	NBCW	NT01T	NT01T	77.82	1518.56	99.42	97816	0.185560311037227	1226.33	99.64	0.1	196.447	99.75		99.6	99.55	99.51	99.49	99.47	99.42	50.42	98.34	94.71	
AFF589	b6732auto	NCP980c	NPC980	NPC980	75.65	17048.7	99.67	59629	0.649512252219997	3838.58	99.76	0.07	176.913	99.99		99.98	99.97	99.95	99.94	99.93	99.87	52.9	97.93	93.91	
AFF092	b6726auto	NBCW	NT01T	NT01T	74.81	1482.28	99.42	99801	0.171172003918065	1215.8	99.47	0.15	197.159	99.78		99.61	99.56	99.54	99.51	99.5	99.45	50.25	97.71	93.38	
AFF872	b6731auto	Ncec	NT01T	NT01T	84.94	1946.11	99.42	115365	0.599986684020861	716.98	99.7	0.07	189.741	99.66		99.56	99.52	99.49	99.48	99.46	99.4	51.29	98.1	94.33	
AFF595	b6731auto	Ncec	NT01T	NT01T	84.37	1775.33	99.42	106268	0.454727810157168	921.79	99.66	0.09	192.169	99.67		99.57	99.53	99.5	99.48	99.47	99.41	51.21	97.97	93.9	
AFF865	b6731auto	NBCW	NT01T	NT01T	78.04	1262.73	99.42	82768	0.171815587946552	1035.92	99.65	0.09	228.262	99.73		99.59	99.53	99.49	99.47	99.44	99.27	52.22	97.04	91.39	
AFF865DZ	b6732auto	NBCW	NT01T	NT01T	80.51	224.4	99.42	14139	0.0474060268765116	213.61	99.44	0.14	203.344	99.53		99.43	99.37	99.29	99.2	99.06	95.98	50.69	97.83	93.61	
AFF869	b6731auto	Ncet	NT01T	NT01T	81.2	1520.95	99.42	94522	0.182271489582066	1226.51	99.68	0.08	200.757	99.7		99.55	99.51	99.49	99.47	99.45	99.39	52.09	97.84	93.6	
AFF247	b6732auto	NCP980	NPC980	NPC980	71.95	6027.87	99.67	22107	0.386675140878673	3078.93	99.8	0.06	167.043	99.97		99.94	99.92	99.91	99.9	99.88	99.77	50.33	98.1	94.32	
AFF248DZ	b6730auto	NCP980	NPC980	NPC980	78.53	232.53	99.42	14951	0.066620556031881	216.98	99.67	0.08	197.387	99.58		99.46	99.38	99.3	99.18	99.02	95.71	50.42	98.45	95.07	
AFF248	b6730auto	NCP980c	NPC980	NPC980	66.85	13505.7	99.67	53488	0.762613427207904	885.98	99.76	0.08	177.686	99.98		99.95	99.95	99.94	99.93	99.9	99.84	52.73	97.89	93.52	
AFF246DZ	b6730auto	NCP980c	NPC980	NPC980	75.05	22397.47	99.39	6748	0.426277597643246	11618.28	99.71	0.1	202.622	100.0		100.0	100.0	100.0	100.0	100.0	100.0	51.44	98.4	94.89	
AFF862	b6732auto	NCPLt	NPC69	NPC69	58.85	2667.43	99.66	1672	0.131451383322811	2222.96	99.7	0.07	203.019	99.87		99.77	99.42	99.17	98.92	98.69	98.07	46.17	98.08	94.17	
AFF862DZ	b6732auto	NCPLt	NPC69	NPC69	79.86	196.67	99.42	12417	0.0506598558079826	186.61	99.69	0.08	195.453	99.41		99.24	99.14	99.0	98.8	98.5	92.48	51.29	98.04	94.15	
AFF246	b6730auto	NCAPX	NVT	NVT	79.41	42820.38	99.39	12070	0.817983845135488	5827.48	99.82	0.05	162.512	100.0		100.0	100.0	100.0	100.0	100.0	100.0	48.84	98.36	95.01	
AFG049	b6736auto	NCP980c	NPC980	NPC980	72.79	16990.43	99.67	60342	0.794288206087996	979.99	99.75	0.08	173.327	99.95		99.92	99.9	99.87	99.83	99.8	99.67	55.71	97.23	92.64	
AFG049DZ	b6736auto	NCP980c	NPC980	NPC980	78.26	295.36	99.42	19070	0.0660109007218865	275.51	99.57	0.13	192.799	99.6		99.5	99.43	99.37	99.3	99.21	97.81	51.05	97.22	92.56	
AFG048	b6736auto	NCP980	NPC980	NPC980	64.19	5136.32	99.67	20995	0.310655556632024	3073.97	99.68	0.12	182.426	99.95		99.92	99.9	99.89	99.86	99.82	99.66	52.01	97.15	92.36	
AFG052	b6736auto	NCP980	NPC980	NPC980	63.68	4268.99	99.67	18017	0.26653451178859	2787.17	99.62	0.13	185.935	99.93		99.89	99.86	99.82	99.77	99.73	99.56	51.53	96.48	90.82	
AFG053DZ	b6736auto	NCP980	NPC980	NPC980	77.0	240.06	99.42	15687	0.0615718525033013	225.07	99.54	0.14	190.756	99.43		99.27	99.2	99.13	99.02	98.87	96.23	50.92	97.29	92.71	
AFG051	b6736auto	NCP980c	NPC980	NPC980	70.82	16526.73	99.67	62095	0.806082818923583	897.14	99.68	0.12	187.152	99.93		99.92	99.9	99.88	99.86	99.85	99.8	53.62	97.17	92.42	
AFG051DZ	b6736auto	NCP980c	NPC980	NPC980	77.44	195.12	99.42	12644	0.0586088243051015	183.48	99.54	0.14	188.553	99.55		99.44	99.35	99.21	98.97	98.57	90.56	51.35	97.12	92.26	
AFG050	b6736auto	NCP980	NPC980	NPC980	64.11	6480.67	99.67	26596	0.3271662390912	3725.5	99.66	0.13	183.785	99.93		99.9	99.88	99.87	99.85	99.83	99.68	52.42	97.14	92.35	
AFG968	b6742auto	NCP980c	NPC980	NPC980	68.16	16291.01	99.67	62503	0.697496617742269	1979.31	99.84	0.04	190.401	99.95		99.93	99.92	99.92	99.9	99.88	99.84	52.77	98.23	94.44	
AFG968DZ	b6742auto	NCP980c	NPC980	NPC980	77.35	267.01	99.42	17444	0.0582790370537977	251.23	99.68	0.07	202.362	99.6		99.49	99.42	99.35	99.26	99.13	97.03	50.93	98.29	94.62	
AFG962	b6742auto	NCP980	NPC980	NPC980	62.84	4907.17	99.67	21511	0.405436038853711	2221.16	99.81	0.05	237.076	99.98		99.95	99.93	99.91	99.89	99.85	99.75	50.0	97.91	93.35	
AFG963DZ	b6742auto	NCP980	NPC980	NPC980	77.68	154.86	99.42	10093	0.0463820352817213	147.6	99.69	0.08	206.16	99.55		99.43	99.31	99.14	98.81	98.16	82.41	50.45	98.21	94.35	
AFG959	b6742auto	NCp1	NPC69	NPC69	64.99	2541.7	99.66	1421	0.138049071226306	2133.49	99.71	0.09	213.821	99.97		99.77	99.43	99.26	99.12	99.03	98.67	44.72	98.21	94.29	
AFG960DZ	b6742auto	NCp1	NPC69	NPC69	77.22	205.4	99.42	13503	0.0626702180075835	192.38	99.71	0.07	207.746	99.57		99.45	99.37	99.27	99.13	98.9	93.73	50.49	98.22	94.44	
AFG966	b6742auto	NCP393	NPC980	NPC980	70.5	4529.52	99.67	16999	0.510291913187873	1589.07	99.82	0.07	213.307	99.99		99.99	99.97	99.92	99.89	99.86	99.75	53.25	97.99	93.81	
AFG966DZ	b6742auto	NCP393	NPC980	NPC980	76.68	267.31	99.42	17600	0.0612306562278047	250.76	99.7	0.07	203.569	99.6		99.48	99.41	99.35	99.26	99.14	97.14	50.85	98.36	94.86	
